id,tytul,cena,czynsz,kaucja,adres,powierzchnia,pokoje,ogrzewanie,piętro,stan_wykończenia,dostępne_od,dodatkowe_informacje,rok_budowy,winda,rodzaj_zabudowy,okna,bezpieczeństwo,wyposażenie,opis,dodano,aktualizacja,link,scraped_date
65772228,"Bezpośrednio mieszkanie na Mokotowie Sielce 37,4m2",3 000 zł,500 zł,3 800 zł,"ul. Łużycka 10, Sielce, Mokotów, Warszawa, mazowieckie",37.4,2,miejskie,2/8,do zamieszkania,brak informacji,,,tak,blok,plastikowe,,lodówka meble kuchenka telewizor pralka,"Wynajem bezpośredni, nie podejmuję współpracy z agencjami.
Oferta dla osób niepalących.
telefon 506 813 837
 
Posiadam do wynajęcia mieszkanie przy ulicy Łużyckiej 10 – Warszawa Sielce.
Prestiżowa lokalizacja, w okolicy:
Łazienki Królewskie brama od Podchorążych 900m, Brama od Gagarina 900m

Komunikacja, na przystanek 150m:
Tramwaj 11 – 12minut do metra politechnika (zawieszony do 1 września w związku z pracami na Puławskiej.
Autobus 131 – 12minut do metra politechnika

Sklepy:
Carrefour Express, Apteka Cosmedica 70m
Lidl 300m

Parking:
Strefa bezpłatnego parkowania: bezpłatne miejsca parkingowe pod budynkiem.

Powierzchnia mieszkania 37,4m2  + oszklona loggia ok 4m2.
Rozkład: Przedpokój, łazienka, kuchnia z jadalnią, duży salon z wydzieloną wnęką do spania.
Na wyposażeniu lodówka, pralka, płyta eklektyczna, telewizor. 2 kanapy, stół i 4 krzesła.

Mieszkanie dostępne od zaraz, wynajem okazjonalny.
Budynek po remoncie, ocieplony, nowa winda, wymienione rury. Ogrzewanie miejskie.

Opłaty:
Czynsz najmu 3000 zł
Czynsz administracyjny 500 zł
Kaucja 3500 zł
",11.08.2024,21.08.2024,https://www.otodom.pl/pl/oferta/bezposrednio-mieszkanie-na-mokotowie-sielce-37-4m2-ID4rYmo,2024-08-21
65195325,Penthouse z wyjątkowym tarasem,16 900 zł,1 300 zł,brak informacji,"ul. Adama Branickiego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",134,3,miejskie,4/4,do zamieszkania,brak informacji,,2015,tak,apartamentowiec,plastikowe,monitoring / ochrona,zmywarka lodówka meble piekarnik kuchenka pralka klimatyzacja,"Eurovilla prezentuje wyjątkowy penthouse z pięknym tarasem w Miasteczku Wilanów. LOKALIZACJAMieszkanie usytuowane jest na ostatnim  piętrze  w budynku, przy ulicy Branickiego, w jednej z najciekawszych inwestycji w okolicy, budynek oddany do użytku w 2015 roku. Doskonały stan techniczny, wykonany z najwyższej jakości materiałów, wyjątkowo zadbany. Apartament znajduje się w bardzo dogodnej lokalizacji - ok. 1,5 km od Pałacu w Wilanowie. W pobliżu usytuowane są szkoły międzynarodowe: Willy-Brandt School, The British School, International American School, International European School. Lokalizacja, sprzyjająca  rekreacji: bliskość kortów tenisowych, tras rowerowych, pola golfowego oraz parku w Powsinie.  W bezpośrednim sąsiedztwie znajdują się liczne restauracje, kawiarnie i punktów usługowe.STANDARD WYKOŃCZENIA Mieszkanie jest komfortowe i doskonale rozplanowane na strefę dzienną i nocą. W całym apartamencie na podłodze ułożono drewnianą podłogę oraz kamień. Stolarka w całym mieszkaniu wykonana na zamówienie.Duże okna powodują, że mieszkanie jest wspaniale doświetlone.ROZKŁAD POMIESZCZEŃ- salon połączony z jadalnią z wyjściem na  duży taras- kuchnia ze spiżarnią , otwarta na salon- sypialnia master z łazienką i garderobą oraz wyjściem na drugi taras- łazienka z prysznicem - sypialnia/ pokój dziecięcy - holINFORMACJE DODATKOWE:Do mieszkania przynależy podwójne miejsce parkingowe oraz komórka lokatorska.Czynsz administracyjny w wysokości 1800 PLN stanowi koszt po stronie najemcy.Niniejsze ogłoszenie jest wyłącznie informacją i nie stanowi oferty w rozumieniu art. 66 § 1 Kodeksu Cywilnego. _Autorskie prawa majątkowe do fotografii nieruchomości przysługują wyłącznie firmie : Eurovilla Wilanów Sp .z o.o., Eurovilla Miasteczko Wilanów Sp .z o.o.,  Eurovilla Mokotów Sp .z o.o.,  Eurovilla Śródmieście Sp .z o.o. Kopiowanie, przetwarzanie, rozpowszechnianie fotografii bez zgody Spółek Eurovilla jest zabronione i będzie traktowane jako naruszenie ustawy z dnia 4 lutego 1994 r. o prawie autorskim i prawach pokrewnych.",8.03.2024,19.08.2024,https://www.otodom.pl/pl/oferta/penthouse-z-wyjatkowym-tarasem-ID4pyhw,2024-08-21
65372331,Do wynajęcia przytulne mieszkanie,7 500 zł,,brak informacji,"al. Aleja Rzeczypospolitej, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",92.4,3,miejskie,2/4,do zamieszkania,brak informacji,,2008,tak,apartamentowiec,,teren zamknięty,meble,"EUROVILLA prezentuje do wynajęcia przytulne 3 pokojowe mieszkanie na Miasteczku Wilanów. Mieszkanie wykończone z ogromną starannością z praktyczna zabudowa.LOKALIZACJAApartament zlokalizowany jest w Miasteczku Wilanów. Dogodne położenie w sercu Wilanowa gwarantuje łatwy dostęp do pełnej infrastruktury miejskiej. W pobliżu znajduje się kompleks handlowo usługowy Royal Wilanów, liczne sklepy, apteka, SPA, siłownie, kawiarnie, restauracje oraz wszelkie lokale usługowo-handlowe. Dużo terenów rekreacyjnych i ścieżek rowerowych.STANDARD WYKOŃCZENIAMieszkanie wykończone w jasnych, przyjemnych barwach, w wysokim standardzie z dużą dbałością o detale. Liczne zabudowane szafy. Mieszkanie  jest w pełni wyposażone.ROZKŁAD POMIESZCZEŃsalon z wyjściem na balkonkuchnia z oknem otwarta na salonhol wejściowyłazienka z wannapralnia2 sypialnieDODATKOWE INFORMACJEDo mieszkania przynależy miejsce postojowe w garażu podziemnym . Niniejsze ogłoszenie jest wyłącznie informacją i nie stanowi oferty w rozumieniu art. 66 § 1 Kodeksu Cywilnego. _Autorskie prawa majątkowe do fotografii nieruchomości przysługują wyłącznie firmie : Eurovilla Wilanów Sp .z o.o., Eurovilla Miasteczko Wilanów Sp .z o.o.,  Eurovilla Mokotów Sp .z o.o.,  Eurovilla Śródmieście Sp .z o.o. Kopiowanie, przetwarzanie, rozpowszechnianie fotografii bez zgody Spółek Eurovilla jest zabronione i będzie traktowane jako naruszenie ustawy z dnia 4 lutego 1994 r. o prawie autorskim i prawach pokrewnych.",24.04.2024,19.08.2024,https://www.otodom.pl/pl/oferta/do-wynajecia-przytulne-mieszkanie-ID4qikr,2024-08-21
65804110,Zupełnie NOWE 2-pokojowe mieszkanie,3 350 zł,650 zł,brak informacji,"ul. Równoległa, Raków, Włochy, Warszawa, mazowieckie",,2,miejskie,3/6,do zamieszkania,brak informacji,,2023,tak,blok,drewniane,teren zamknięty monitoring / ochrona,zmywarka lodówka meble piekarnik kuchenka telewizor pralka,"Zupełnie NOWE 2-pokojowe mieszkanie na osiedlu Urbino na warszawskim Rakowie przy ulicy Równoległej. Osiedle chronione.

LOKALIZACJAGłówne atuty tej lokalizacji to:- szybki dojazd (15 minut) autem do centrum miasta Alejami Jerozolimskimi i ul. Grójecką,- wygodny transport publiczny, w tym Szybka Kolej Miejska i podmiejska Dworzec Zachodni,- idealna komunikacja z lotniskiem Chopina,- łatwy dostęp do Południowej Obwodnicy Warszawy, umożliwiającej wygodny wyjazd z miasta,- bogata oferta handlowo-usługowa (niedaleko znajdują się sklepy, supermarkety Castorama, E.Leclerc, Biedronka, Lidl oraz centra handlowe Atrium Reduta i Blue City, a 10 min do CH Janki i sklepu IKEA),- bliskość Parku Szczęśliwickiego dla amatorów rekreacji i aktywnego wypoczynku

MIESZKANIE składa się z:- salonu połączonego z otwartą kuchnią,- sypialni- łazienki z wanną- przedpokoju- balkonuJest w pełni umeblowane i wyposażone. W kuchni pełne AGD ze zmywarką, płytą elektryczną, piekarnikiem, lodówko-zamrażarką.W salonie rozkładana kanapa, stół z krzesłami, telewizor.Pojemne szafy w sypialni i holu.W łazience pralka.*Do uzgodnienia z najemcą pozostaje kwestia umeblowania sypialni.
Cena: 3.350 zł/msc najem + 650 zł/msc czynsz do administracji + prąd wg zużycia
Miejsce postojowe w garażu podziemnym do uzgodnienia.",21.08.2024,21.08.2024,https://www.otodom.pl/pl/oferta/zupelnie-nowe-2-pokojowe-mieszkanie-ID4s6EC,2024-08-21
65804103,"Rozbrat, Powiśle: 3 pokoje w kamienicy z 1933r.",12 000 zł,1 000 zł,13 000 zł,"Powiśle, Śródmieście, Warszawa, mazowieckie",120.83,3,miejskie,2,do zamieszkania,2024-09-15,,1933,tak,kamienica,,,meble lodówka piekarnik zmywarka,"Oferujemy do wynajęcia przestronne i eleganckie mieszkanie o powierzchni 120 m², położone na 2. piętrze (winda)  w przedwojennej kamienicy z 1933 roku, która zachowuje swój historyczny urok, a jednocześnie została dostosowana do nowoczesnych standardów.Historia i lokalizacja: Ulica Rozbrat, której nazwa nadana została urzędowo w 1770 roku, pochodzi od rozdzielenia się (rozbratania) jednej drogi na dwie. W latach dwudziestych XX wieku Rozbrat stał się ulicą szkół, z których najbardziej znane jest Gimnazjum im. Stefana Batorego, wybudowane przy rogu Rozbrat i Myśliwieckiej w latach 1922-1924 (projekt architekta Tadeusza Tołwińskiego). Wzdłuż ulicy Rozbrat biegnie malowniczy Szlak Wisły oraz Podskarpowa Ścieżka Rowerowa, co czyni tę lokalizację idealną dla miłośników aktywnego trybu życia.Mieszkanie:Dwustronny układ – mieszkanie jest świetnie doświetlone przez cały dzień dzięki oknom wychodzącym na dwie strony budynku.Duży, jasny salon – przestronny i komfortowy, z widokiem na zieleń.Piękna drewniana podłoga – w całym mieszkaniu znajduje się starannie utrzymana drewniana podłoga, która dodaje wnętrzom ciepła i elegancji.Nowoczesna kuchnia – kuchnia została zaprojektowana z myślą o funkcjonalności i estetyce.Blat  wykonany z wysokiej jakości materiałów, jest idealny do przygotowywania posiłków, a jego przestronność zapewnia wygodę pracy.Białe, nowoczesne szafki z dużą ilością miejsca do przechowywania, doskonale kontrastują z ciemnym blatem, tworząc stylową przestrzeń.W pełni wyposażona w sprzęty AGD najwyższej klasy, w tym piekarnik, płytę grzewczą, zmywarkę i lodówkę, co sprawia, że kuchnia spełnia oczekiwania najbardziej wymagających użytkowników.Duże okno w kuchni dodaje jej wyjątkowego uroku, wpuszczając mnóstwo naturalnego światła.Dwie przestronne sypialnie – w tym jedna z dostępem do dużej garderoby, zapewniającej komfort przechowywania.Elegancka łazienka – z prysznicem i stylowymi wykończeniami, oferująca wygodę i estetykę.Osobna toaleta – dodatkowy atut, który podnosi komfort użytkowania mieszkania.Duża garderoba – zapewniająca dużo miejsca na ubrania i dodatki.Dostępność i udogodnienia:Mieszkanie dostępne od 1 października. Możliwość parkowania na wewnętrznym dziedzińcu, co jest cennym udogodnieniem w tej lokalizacji.Podsumowanie: To wyjątkowe mieszkanie, łączące historyczny charakter z nowoczesnym komfortem, położone w jednej z najbardziej pożądanych lokalizacji w Warszawie. Doskonała infrastruktura, bliskość szkół oraz piękne trasy rowerowe wzdłuż Wisły czynią to miejsce idealnym do życia. Zapraszamy do kontaktu i obejrzenia tej niezwykłej nieruchomości.

Serdecznie zapraszam na prezentację,Grzegorz KoniecznyReal Estate AgentNr licencji PFRN 30356+48 579 504 504Jako agencja nieruchomości pobieramy wynagrodzenie w formie prowizji za wykonaną usługę pośrednictwa. Bierzemy odpowiedzialność za bezpieczeństwo transakcji, doradzamy, pomagamy w załatwianiu formalności. Niniejsze ogłoszenie pełni funkcję informacyjną i nie stanowi oferty handlowej w rozumieniu przepisów Kodeksu Cywilnego..We offer for rent a spacious and elegant flat of 120 m², located on the 2nd floor (elevator) of a pre-war building from 1933, which retains its historical charm while being adapted to modern standards.History and location:Rozbrat Street, which was officially named in 1770, derives its name from the separation (splitting) of one road into two. In the 1920s Rozbrat became a street of schools, the most famous of which is the Stefan Batory Gymnasium, built at the corner of Rozbrat and Myśliwiecka Streets between 1922 and 1924 (designed by architect Tadeusz Tolwiński). Along Rozbrat Street runs the picturesque Vistula Trail and the Subcarpathian Bicycle Path, making this location ideal for active lifestyle enthusiasts.Flat:Double-sided layout - the flat is well-lit throughout the day thanks to windows facing two sides of the building.Large, bright living room - spacious and comfortable, overlooking the greenery.Beautiful wooden flooring - there is carefully maintained wooden flooring throughout the flat, which adds warmth and elegance to the interior.Modern kitchen - the kitchen has been designed with functionality and aesthetics in mind.The worktop , made from high quality materials, is ideal for preparing meals and its spaciousness makes it comfortable to work with.The white, modern cabinets with plenty of storage, contrast perfectly with the dark worktop to create a stylish space.Fully equipped with top-of-the-range appliances, including an oven, hob, dishwasher and fridge, ensuring the kitchen meets the expectations of the most discerning users.A large window in the kitchen adds to its unique charm, letting in plenty of natural light.Two spacious bedrooms - including one with access to a large dressing room, providing convenient storage.Elegant bathroom - with shower and stylish finishes, offering comfort and aesthetics.Separate toilet - an additional asset that adds to the comfort of the flat.Large dressing room - providing ample space for clothes and accessories.AvailabilityFlat available from 1 October. Possibility of parking in the inner courtyard, which is a valuable amenity in this location.Summary: This is an exceptional flat, combining historical character with modern comfort, located in one of the most desirable locations in Warsaw. Excellent infrastructure, proximity to schools and beautiful cycling routes along the Vistula River make this an ideal place to live. We invite you to contact us and take a look at this extraordinary property.I definitely recommend and invite you to a presentation, Grzegorz KoniecznyReal Estate Agenttel. +48 579 504 504As a real estate agency, we collect remuneration in the form of commission for the mediation service rendered.We take responsibility for the security of transactions, advise, help in completing formalities.We help you find the best credit offer on the market for free.This announcement is for information purposes and does not constitute an offer within the meaning of the Civil Code.

Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()
",21.08.2024,21.08.2024,https://www.otodom.pl/pl/oferta/rozbrat-powisle-3-pokoje-w-kamienicy-z-1933r-ID4s6Ew,2024-08-21
65477888,Nowy Apartament 41m2 Warszawa Wola ul. Ludwiki,4 600 zł,700 zł,brak informacji,"ul. Ludwiki, Czyste, Wola, Warszawa, mazowieckie",,2,brak informacji,4,brak informacji,brak informacji,,,tak,,,teren zamknięty monitoring / ochrona,zmywarka lodówka meble piekarnik kuchenka telewizor pralka klimatyzacja,"Oferuję dwupokojowe mieszkanie na Bliskiej Woli, czyli jednej z najlepszych dzielnic w Warszawie (ul. Ludwiki 4B, osiedle Apartamenty Ludwiki). Mieszkanie znajduje się na 4 piętrze w bloku z windą na osiedlu zamkniętym oraz strzeżonym. Lokal ma powierzchnię 41 metrów kwadratowych.Mieszkanie jest świeżo wykończone w bardzo dobrym standardzie. Lokal składa się z pokoju z aneksem kuchennym, sypialni, łazienki i holu. Lokal jest w pełni umeblowany i wyposażony w sprzęt AGD/RTV, tj. płyta indukcyjna, zmywarka, piekarnik, lodówka, czajnik, telewizor, pralka, odkurzacz, żelazko, zastawa kuchenna. Dodatkowym atutem mieszkania jest klimatyzacja. Do lokalu przynależy balkon z bardzo urokliwym widokiem na centrum Warszawy oraz parking podziemny, wliczony w cenę. Mieszkanie zlokalizowane jest w bliskim sąsiedztwie Ronda Daszyńskiego. Osiedle dzieli zaledwie 300 metrów od Metra Płocka, a w pobliżu znajdują się również inne połączenia komunikacyjne takie jak autobusy bądź tramwaje. W bardzo bliskiej odległości znajdziemy również takie miejsca jak Fabryka Norblina, Muzeum Warszawskie czy Park Słowińskiego. Do ceny najmu należy doliczyć opłaty za wodę i prąd (według zużycia) ORAZ czynsz administracyjny (700 zł). Kaucja zwrotna wymagana. Umowa najmu okazjonalnego.",23.05.2024,21.08.2024,https://www.otodom.pl/pl/oferta/nowy-apartament-41m2-warszawa-wola-ul-ludwiki-ID4qJMY,2024-08-21
65591486,Nowoczesny Apartament Do Wynajecia Na Mokotowie,5 500 zł,,brak informacji,"ul. Pory, Stegny, Mokotów, Warszawa, mazowieckie",,1,miejskie,6/7,do zamieszkania,brak informacji,,,tak,apartamentowiec,,teren zamknięty monitoring / ochrona,zmywarka lodówka meble piekarnik telewizor pralka,"EUROVILLA prezentuje na wynajem nowoczesne, umeblowane mieszkanie o pow.67 m2 położone na przed ostatnim piętrze budynku na Służewcu.LOKALIZACJAŚwietna lokalizacja - blisko centrum , w pobliżu: sklepy, restauracje, Spa, fitness, siłownie, przychodnia , tereny rekreacyjne, Tor Łyżwiarski Stegny.STANDARD WYKOŃCZENIA Kompleks ogrodzony, monitorowany, całodobowa ochrona, wysoki standard części wspólnych z dużą ilością zieleni.Duża otwarta przestrzeń nadaje wnętrzu niepowtarzalny charakter. Mieszkanie wykończone w wysokim standardzie, wyposażone we wszystkie niezbędne sprzęty oraz w pełni umeblowane. Dużo wbudowanych , pojemnych szaf wnękowych.ROZKŁAD POMIESZCZEŃApartament składa się : * salonu z wyjściem na taras* kuchni w aneksie* przestrzeni sypialnej  * garderoby * łazienki. INFORMACJE DODATKOWEDo lokalu przynależy miejsce parkingowe wliczone w cenę najmu. Budynek z winda, chroniony i monitorowany 24h.  Niniejsze ogłoszenie jest wyłącznie informacją i nie stanowi oferty w rozumieniu art. 66 § 1 Kodeksu Cywilnego. _Autorskie prawa majątkowe do fotografii nieruchomości przysługują wyłącznie firmie : Eurovilla Wilanów Sp .z o.o., Eurovilla Miasteczko Wilanów Sp .z o.o.,  Eurovilla Mokotów Sp .z o.o.,  Eurovilla Śródmieście Sp .z o.o. Kopiowanie, przetwarzanie, rozpowszechnianie fotografii bez zgody Spółek Eurovilla jest zabronione i będzie traktowane jako naruszenie ustawy z dnia 4 lutego 1994 r. o prawie autorskim i prawach pokrewnych.",24.06.2024,21.08.2024,https://www.otodom.pl/pl/oferta/nowoczesny-apartament-do-wynajecia-na-mokotowie-ID4rdlc,2024-08-21
65804062,Wynajem mieszkania - 2 pokoje z loggią i ogródkiem,4 700 zł,,9 000 zł,"Pyry, Ursynów, Warszawa, mazowieckie",,2,miejskie,parter,do zamieszkania,2024-09-01,,2006,nie,blok,plastikowe,teren zamknięty monitoring / ochrona,zmywarka lodówka meble piekarnik kuchenka pralka,"Dwupokojowe mieszkanie na świetnie skomunikowanym warszawskim Ursynowie o powierzchni 52 m2 z loggią i ogródkiem. W salonie rozkładana kanapa z funkcją spania, może służyć jako dodatkowy pokój sypialny. Meble i sprzęty takie jak pralka, lodówka, zmywarka, piekarnik na wyposażeniu mieszkania oprócz telewizora. 

Mieszkanie było malowane i odświeżone 8 miesięcy temu i jest utrzymane w przyjaznym, nowoczesnym stylu z wysokiej jakości materiałów. Osiedle strzeżone, spokojna okolica. Bliskość dużego sklepu Lidl, Auchan, aptek oraz Metra, stacja Shell w pobliżu.

Mieszkanie dostępne od 1 września 2024. 

Wymagana dwumiesięczna kaucja 9 000 zł i zawarcie polisy OC najemcy.

Miesięczna opłata za wynajem: 4700 zł 
Czynsz administracyjny w cenie wynajmu 
Ogrzewanie w czynszu administracyjnym 
Woda w czynszu administracyjnym 
Prąd dodatkowo płatny 
Internet/telewizja kablowa indywidualna umowa 
Miejsce postojowe - parking publiczny dostępny przed blokiem bez opłat dodatkowych 
Rok budowy - 2008 

Wynajem bezpośredni, bez prowizji dla agencji.",21.08.2024,21.08.2024,https://www.otodom.pl/pl/oferta/wynajem-mieszkania-2-pokoje-z-loggia-i-ogrodkiem-ID4s6DQ,2024-08-21
65804077,Śródmieście/Wola 26m2 plus piwnica,3 000 zł,440 zł,3 000 zł,"ul. Miła 37, Nowolipki, Wola, Warszawa, mazowieckie",,1,miejskie,8/9,do zamieszkania,brak informacji,,,tak,blok,plastikowe,,lodówka meble kuchenka telewizor pralka,"Do wynajęcia jednopokojowe mieszkanie niedaleko Arkadii obok CH Klif. Okna z ładnym widokiem na Warszawę.  Doskonały dojazd do każdej części Warszawy (blisko tramwaje, metro, autobusy). 
ROZKŁAD
Mieszkanie o powierzchni 26 m2 składa się z salonu z aneksem kuchennym oraz łazienki z wanną.
STANDARD
Mieszkanie znajduje się na 8 piętrze, jest w pełni umeblowane i wyposażone w sprzęty AGD (lodówka, pralka, kuchnia gazowa). W salonie znajduje się duża szafa, rozkładany, wygodny narożnik, stół plus 2 krzesła oraz telewizor. Można podłączyć telewizję kablową i internet. Do dyspozycji porządnie zabezpieczona, pusta piwnica 2m2.
LOKALIZACJA
Budynek znajduje się przy ulicy Miłej 37 na pograniczu Śródmieścia i Woli, blisko Arkadia obok CH Klif, kilka przystanków do ronda ONZ. Ładna i spokojna okolica. W odległości spaceru dostęp do wielu lokali handlowo-usługowych, obiektów rekreacyjnych i placówek medycznych.
DODATKOWE INFORMACJE
umowa najmu okazjonalnego
wymagana kaucja
dodatkowe opłaty (czynsz 440, prąd i gaz) 
Proszę o kontakt: 601/273/175 ",21.08.2024,21.08.2024,https://www.otodom.pl/pl/oferta/srodmiescie-wola-26m2-plus-piwnica-ID4s6E5,2024-08-21
65804074,"2 pokoje/oddzielna kuchnia, ul. Walewska",3 300 zł,640 zł,brak informacji,"ul. Walewska, Grochów, Praga-Południe, Warszawa, mazowieckie",,2,miejskie,10/10,do zamieszkania,brak informacji,,1980,tak,blok,plastikowe,monitoring / ochrona,zmywarka lodówka meble piekarnik kuchenka telewizor pralka,"Oferuję na wynajem 2-pokojowe mieszkanie znajdujące się na Grochowie przy ul. Walewskiej 2. Lokal o pow. 42 mkw. na 10-piętrze,10-piętrowego bloku z windą, wybudowanym w roku 1980.Nieruchomość składa się z:- nowoczesnej kuchni, w pełni wyposażonej w sprzęty AGD,- przestronnego, jasnego salonu z wyjściem na balkon,- ustawnej sypialni.- łazienki z wanną,- holu przejściowego z dużą szafą.Mieszkanie znajduje się 400m od Galerii Handlowej Rondo Wiatraczna.W najbliższej okolicy Auchan, Galeria Grochów oraz liczne obiekty gastronomiczne. Bardzo dobra komunikacja, przystanki autobusowe i tramwajowe (Rondo Wiatraczna) - 2 min pieszo.Koszty najmu: 4000 zł + 1000 zł czynszu + prąd + Internet.Zapraszam na prezentację!W swojej ofercie posiadamy również dodatkowe usługi takie jak: projektowanie i remonty wnętrz wraz z ich nadzorem, usługę zarządzania najmem oraz doradztwo kredytowe. Zapraszamy do kontaktu, chętnie udzielimy więcej informacji!",21.08.2024,21.08.2024,https://www.otodom.pl/pl/oferta/2-pokoje-oddzielna-kuchnia-ul-walewska-ID4s6E2,2024-08-21
65804103,"Rozbrat, Powiśle: 3 pokoje w kamienicy z 1933r.",12 000 zł,1 000 zł,13 000 zł,"Powiśle, Śródmieście, Warszawa, mazowieckie",120.83,3,miejskie,2,do zamieszkania,2024-09-15,,1933,tak,kamienica,,,meble lodówka piekarnik zmywarka,"Oferujemy do wynajęcia przestronne i eleganckie mieszkanie o powierzchni 120 m², położone na 2. piętrze (winda)  w przedwojennej kamienicy z 1933 roku, która zachowuje swój historyczny urok, a jednocześnie została dostosowana do nowoczesnych standardów.Historia i lokalizacja: Ulica Rozbrat, której nazwa nadana została urzędowo w 1770 roku, pochodzi od rozdzielenia się (rozbratania) jednej drogi na dwie. W latach dwudziestych XX wieku Rozbrat stał się ulicą szkół, z których najbardziej znane jest Gimnazjum im. Stefana Batorego, wybudowane przy rogu Rozbrat i Myśliwieckiej w latach 1922-1924 (projekt architekta Tadeusza Tołwińskiego). Wzdłuż ulicy Rozbrat biegnie malowniczy Szlak Wisły oraz Podskarpowa Ścieżka Rowerowa, co czyni tę lokalizację idealną dla miłośników aktywnego trybu życia.Mieszkanie:Dwustronny układ – mieszkanie jest świetnie doświetlone przez cały dzień dzięki oknom wychodzącym na dwie strony budynku.Duży, jasny salon – przestronny i komfortowy, z widokiem na zieleń.Piękna drewniana podłoga – w całym mieszkaniu znajduje się starannie utrzymana drewniana podłoga, która dodaje wnętrzom ciepła i elegancji.Nowoczesna kuchnia – kuchnia została zaprojektowana z myślą o funkcjonalności i estetyce.Blat  wykonany z wysokiej jakości materiałów, jest idealny do przygotowywania posiłków, a jego przestronność zapewnia wygodę pracy.Białe, nowoczesne szafki z dużą ilością miejsca do przechowywania, doskonale kontrastują z ciemnym blatem, tworząc stylową przestrzeń.W pełni wyposażona w sprzęty AGD najwyższej klasy, w tym piekarnik, płytę grzewczą, zmywarkę i lodówkę, co sprawia, że kuchnia spełnia oczekiwania najbardziej wymagających użytkowników.Duże okno w kuchni dodaje jej wyjątkowego uroku, wpuszczając mnóstwo naturalnego światła.Dwie przestronne sypialnie – w tym jedna z dostępem do dużej garderoby, zapewniającej komfort przechowywania.Elegancka łazienka – z prysznicem i stylowymi wykończeniami, oferująca wygodę i estetykę.Osobna toaleta – dodatkowy atut, który podnosi komfort użytkowania mieszkania.Duża garderoba – zapewniająca dużo miejsca na ubrania i dodatki.Dostępność i udogodnienia:Mieszkanie dostępne od 1 października. Możliwość parkowania na wewnętrznym dziedzińcu, co jest cennym udogodnieniem w tej lokalizacji.Podsumowanie: To wyjątkowe mieszkanie, łączące historyczny charakter z nowoczesnym komfortem, położone w jednej z najbardziej pożądanych lokalizacji w Warszawie. Doskonała infrastruktura, bliskość szkół oraz piękne trasy rowerowe wzdłuż Wisły czynią to miejsce idealnym do życia. Zapraszamy do kontaktu i obejrzenia tej niezwykłej nieruchomości.

Serdecznie zapraszam na prezentację,Grzegorz KoniecznyReal Estate AgentNr licencji PFRN 30356+48 579 504 504Jako agencja nieruchomości pobieramy wynagrodzenie w formie prowizji za wykonaną usługę pośrednictwa. Bierzemy odpowiedzialność za bezpieczeństwo transakcji, doradzamy, pomagamy w załatwianiu formalności. Niniejsze ogłoszenie pełni funkcję informacyjną i nie stanowi oferty handlowej w rozumieniu przepisów Kodeksu Cywilnego..We offer for rent a spacious and elegant flat of 120 m², located on the 2nd floor (elevator) of a pre-war building from 1933, which retains its historical charm while being adapted to modern standards.History and location:Rozbrat Street, which was officially named in 1770, derives its name from the separation (splitting) of one road into two. In the 1920s Rozbrat became a street of schools, the most famous of which is the Stefan Batory Gymnasium, built at the corner of Rozbrat and Myśliwiecka Streets between 1922 and 1924 (designed by architect Tadeusz Tolwiński). Along Rozbrat Street runs the picturesque Vistula Trail and the Subcarpathian Bicycle Path, making this location ideal for active lifestyle enthusiasts.Flat:Double-sided layout - the flat is well-lit throughout the day thanks to windows facing two sides of the building.Large, bright living room - spacious and comfortable, overlooking the greenery.Beautiful wooden flooring - there is carefully maintained wooden flooring throughout the flat, which adds warmth and elegance to the interior.Modern kitchen - the kitchen has been designed with functionality and aesthetics in mind.The worktop , made from high quality materials, is ideal for preparing meals and its spaciousness makes it comfortable to work with.The white, modern cabinets with plenty of storage, contrast perfectly with the dark worktop to create a stylish space.Fully equipped with top-of-the-range appliances, including an oven, hob, dishwasher and fridge, ensuring the kitchen meets the expectations of the most discerning users.A large window in the kitchen adds to its unique charm, letting in plenty of natural light.Two spacious bedrooms - including one with access to a large dressing room, providing convenient storage.Elegant bathroom - with shower and stylish finishes, offering comfort and aesthetics.Separate toilet - an additional asset that adds to the comfort of the flat.Large dressing room - providing ample space for clothes and accessories.AvailabilityFlat available from 1 October. Possibility of parking in the inner courtyard, which is a valuable amenity in this location.Summary: This is an exceptional flat, combining historical character with modern comfort, located in one of the most desirable locations in Warsaw. Excellent infrastructure, proximity to schools and beautiful cycling routes along the Vistula River make this an ideal place to live. We invite you to contact us and take a look at this extraordinary property.I definitely recommend and invite you to a presentation, Grzegorz KoniecznyReal Estate Agenttel. +48 579 504 504As a real estate agency, we collect remuneration in the form of commission for the mediation service rendered.We take responsibility for the security of transactions, advise, help in completing formalities.We help you find the best credit offer on the market for free.This announcement is for information purposes and does not constitute an offer within the meaning of the Civil Code.

Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()
",21.08.2024,21.08.2024,https://www.otodom.pl/pl/oferta/rozbrat-powisle-3-pokoje-w-kamienicy-z-1933r-ID4s6Ew,2024-08-21
